,precision,recall,f1-score,support
0,0.825,0.6226415094339622,0.7096774193548387,106.0
1,0.6190476190476191,0.8227848101265823,0.7065217391304348,79.0
accuracy,0.7081081081081081,0.7081081081081081,0.7081081081081081,0.7081081081081081
macro avg,0.7220238095238095,0.7227131597802723,0.7080995792426368,185.0
weighted avg,0.7370527670527669,0.7081081081081081,0.7083298586103636,185.0
