,precision,recall,f1-score,support
0,0.8,0.38095238095238093,0.5161290322580645,63.0
1,0.5411764705882353,0.8846153846153846,0.6715328467153284,52.0
accuracy,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
macro avg,0.6705882352941177,0.6327838827838828,0.5938309394866965,115.0
weighted avg,0.6829667519181586,0.6086956521739131,0.5863985831430882,115.0
