,precision,recall,f1-score,support
0,0.875,0.9767441860465116,0.9230769230769231,43.0
1,0.9787234042553191,0.8846153846153846,0.9292929292929293,52.0
accuracy,0.9263157894736842,0.9263157894736842,0.9263157894736842,0.9263157894736842
macro avg,0.9268617021276595,0.9306797853309481,0.9261849261849262,95.0
weighted avg,0.9317749160134379,0.9263157894736842,0.9264793685846316,95.0
